experiment,plate,well,sirna,y
HEPG2-01,1,B03,513,312
HEPG2-01,1,B04,840,312
HEPG2-01,1,B05,1020,312
HEPG2-01,1,B06,254,938
HEPG2-01,1,B07,144,938
HEPG2-01,1,B08,503,938
HEPG2-01,1,B09,188,312
HEPG2-01,1,B10,700,312
HEPG2-01,1,B11,1100,312
HEPG2-01,1,B12,611,312
HEPG2-01,1,B13,276,312
HEPG2-01,1,B14,397,312
HEPG2-01,1,B15,757,312
HEPG2-01,1,B16,828,312
HEPG2-01,1,B17,91,312
HEPG2-01,1,B18,567,312
HEPG2-01,1,B19,6,312
HEPG2-01,1,B20,460,312
HEPG2-01,1,B21,413,312
HEPG2-01,1,B22,555,312
HEPG2-01,1,B23,74,312
HEPG2-01,1,C02,950,312
HEPG2-01,1,C04,253,312
HEPG2-01,1,C05,272,938
HEPG2-01,1,C06,162,312
HEPG2-01,1,C08,177,312
HEPG2-01,1,C09,1023,312
HEPG2-01,1,C10,282,312
HEPG2-01,1,C12,762,312
HEPG2-01,1,C13,547,312
HEPG2-01,1,C14,750,312
HEPG2-01,1,C16,10,312
HEPG2-01,1,C17,212,312
HEPG2-01,1,C18,960,312
HEPG2-01,1,C20,870,312
HEPG2-01,1,C21,549,734
HEPG2-01,1,C23,655,938
HEPG2-01,1,D02,70,312
HEPG2-01,1,D03,350,312
HEPG2-01,1,D04,745,938
HEPG2-01,1,D05,1042,312
HEPG2-01,1,D06,436,312
HEPG2-01,1,D07,537,312
HEPG2-01,1,D08,124,938
HEPG2-01,1,D09,203,734
HEPG2-01,1,D10,708,938
HEPG2-01,1,D11,415,312
HEPG2-01,1,D12,653,312
HEPG2-01,1,D13,1056,938
HEPG2-01,1,D14,456,312
HEPG2-01,1,D15,217,938
HEPG2-01,1,D16,681,312
HEPG2-01,1,D17,113,938
HEPG2-01,1,D18,791,312
HEPG2-01,1,D19,538,938
HEPG2-01,1,D20,290,938
HEPG2-01,1,D21,576,938
HEPG2-01,1,D22,1031,312
HEPG2-01,1,D23,883,938
HEPG2-01,1,E02,400,312
HEPG2-01,1,E03,984,938
HEPG2-01,1,E04,80,312
HEPG2-01,1,E05,371,312
HEPG2-01,1,E06,987,938
HEPG2-01,1,E07,211,938
HEPG2-01,1,E08,157,938
HEPG2-01,1,E09,921,312
HEPG2-01,1,E10,478,312
HEPG2-01,1,E11,577,312
HEPG2-01,1,E12,345,312
HEPG2-01,1,E13,784,312
HEPG2-01,1,E14,894,938
HEPG2-01,1,E15,385,312
HEPG2-01,1,E16,1028,312
HEPG2-01,1,E17,8,734
HEPG2-01,1,E18,552,312
HEPG2-01,1,E19,695,938
HEPG2-01,1,E20,459,734
HEPG2-01,1,E21,581,312
HEPG2-01,1,E22,1060,938
HEPG2-01,1,E23,355,938
HEPG2-01,1,F02,900,938
HEPG2-01,1,F04,340,312
HEPG2-01,1,F05,486,312
HEPG2-01,1,F06,907,938
HEPG2-01,1,F08,391,312
HEPG2-01,1,F09,838,938
HEPG2-01,1,F10,523,312
HEPG2-01,1,F12,1084,312
HEPG2-01,1,F13,1089,312
HEPG2-01,1,F14,670,938
HEPG2-01,1,F16,450,312
HEPG2-01,1,F17,389,312
HEPG2-01,1,F18,379,312
HEPG2-01,1,F20,239,312
HEPG2-01,1,F21,604,938
HEPG2-01,1,F23,155,312
HEPG2-01,1,G02,5,312
HEPG2-01,1,G03,48,312
HEPG2-01,1,G04,1062,312
HEPG2-01,1,G05,884,734
HEPG2-01,1,G06,825,938
HEPG2-01,1,G07,798,312
HEPG2-01,1,G08,914,312
HEPG2-01,1,G09,1025,938
HEPG2-01,1,G10,624,312
HEPG2-01,1,G11,939,312
HEPG2-01,1,G12,938,312
HEPG2-01,1,G13,88,312
HEPG2-01,1,G14,1096,312
HEPG2-01,1,G15,46,938
HEPG2-01,1,G16,417,938
HEPG2-01,1,G17,910,312
HEPG2-01,1,G18,268,734
HEPG2-01,1,G19,744,312
HEPG2-01,1,G20,1006,312
HEPG2-01,1,G21,606,894
HEPG2-01,1,G22,172,312
HEPG2-01,1,G23,506,312
HEPG2-01,1,H02,760,312
HEPG2-01,1,H04,1013,312
HEPG2-01,1,H05,77,312
HEPG2-01,1,H06,1101,312
HEPG2-01,1,H08,56,312
HEPG2-01,1,H09,699,312
HEPG2-01,1,H10,1065,312
HEPG2-01,1,H12,847,938
HEPG2-01,1,H13,348,938
HEPG2-01,1,H14,1008,312
HEPG2-01,1,H16,845,312
HEPG2-01,1,H17,102,312
HEPG2-01,1,H18,3,312
HEPG2-01,1,H20,543,312
HEPG2-01,1,H21,734,938
HEPG2-01,1,H23,897,312
HEPG2-01,1,I02,626,312
HEPG2-01,1,I03,192,312
HEPG2-01,1,I04,112,312
HEPG2-01,1,I05,489,312
HEPG2-01,1,I06,1027,938
HEPG2-01,1,I07,195,312
HEPG2-01,1,I08,868,312
HEPG2-01,1,I09,59,312
HEPG2-01,1,I10,689,312
HEPG2-01,1,I11,126,312
HEPG2-01,1,I12,26,312
HEPG2-01,1,I13,1039,312
HEPG2-01,1,I14,295,312
HEPG2-01,1,I15,258,312
HEPG2-01,1,I16,301,312
HEPG2-01,1,I17,891,312
HEPG2-01,1,I18,372,312
HEPG2-01,1,I19,566,312
HEPG2-01,1,I20,764,312
HEPG2-01,1,I21,133,734
HEPG2-01,1,I22,890,312
HEPG2-01,1,I23,806,938
HEPG2-01,1,J02,309,312
HEPG2-01,1,J04,811,938
HEPG2-01,1,J05,1106,312
HEPG2-01,1,J06,105,312
HEPG2-01,1,J08,810,312
HEPG2-01,1,J09,532,938
HEPG2-01,1,J10,1076,312
HEPG2-01,1,J12,676,312
HEPG2-01,1,J13,889,938
HEPG2-01,1,J14,388,312
HEPG2-01,1,J16,94,312
HEPG2-01,1,J17,287,312
HEPG2-01,1,J18,605,312
HEPG2-01,1,J20,411,312
HEPG2-01,1,J21,431,938
HEPG2-01,1,J23,565,312
HEPG2-01,1,K02,881,276
HEPG2-01,1,K03,256,312
HEPG2-01,1,K04,281,312
HEPG2-01,1,K05,181,312
HEPG2-01,1,K06,582,312
HEPG2-01,1,K07,559,312
HEPG2-01,1,K08,853,312
HEPG2-01,1,K09,797,312
HEPG2-01,1,K10,1041,312
HEPG2-01,1,K11,224,312
HEPG2-01,1,K12,765,312
HEPG2-01,1,K13,481,734
HEPG2-01,1,K14,89,938
HEPG2-01,1,K15,366,312
HEPG2-01,1,K16,945,938
HEPG2-01,1,K17,242,312
HEPG2-01,1,K18,692,734
HEPG2-01,1,K19,399,938
HEPG2-01,1,K20,660,938
HEPG2-01,1,K21,541,312
HEPG2-01,1,K22,320,312
HEPG2-01,1,K23,398,312
HEPG2-01,1,L02,673,734
HEPG2-01,1,L03,508,312
HEPG2-01,1,L04,877,312
HEPG2-01,1,L05,222,312
HEPG2-01,1,L06,1067,312
HEPG2-01,1,L07,392,312
HEPG2-01,1,L08,312,312
HEPG2-01,1,L09,442,312
HEPG2-01,1,L10,556,938
HEPG2-01,1,L11,959,312
HEPG2-01,1,L12,775,312
HEPG2-01,1,L13,786,312
HEPG2-01,1,L14,274,312
