experiment,plate,well,sirna,y
HEPG2-01,1,B03,513,350
HEPG2-01,1,B04,840,350
HEPG2-01,1,B05,1020,350
HEPG2-01,1,B06,254,350
HEPG2-01,1,B07,144,350
HEPG2-01,1,B08,503,505
HEPG2-01,1,B09,188,350
HEPG2-01,1,B10,700,350
HEPG2-01,1,B11,1100,350
HEPG2-01,1,B12,611,350
HEPG2-01,1,B13,276,350
HEPG2-01,1,B14,397,350
HEPG2-01,1,B15,757,350
HEPG2-01,1,B16,828,350
HEPG2-01,1,B17,91,622
HEPG2-01,1,B18,567,350
HEPG2-01,1,B19,6,350
HEPG2-01,1,B20,460,350
HEPG2-01,1,B21,413,350
HEPG2-01,1,B22,555,350
HEPG2-01,1,B23,74,350
HEPG2-01,1,C02,950,350
HEPG2-01,1,C04,253,350
HEPG2-01,1,C05,272,350
HEPG2-01,1,C06,162,350
HEPG2-01,1,C08,177,350
HEPG2-01,1,C09,1023,350
HEPG2-01,1,C10,282,350
HEPG2-01,1,C12,762,350
HEPG2-01,1,C13,547,350
HEPG2-01,1,C14,750,350
HEPG2-01,1,C16,10,350
HEPG2-01,1,C17,212,350
HEPG2-01,1,C18,960,350
HEPG2-01,1,C20,870,350
HEPG2-01,1,C21,549,884
HEPG2-01,1,C23,655,884
HEPG2-01,1,D02,70,350
HEPG2-01,1,D03,350,350
HEPG2-01,1,D04,745,350
HEPG2-01,1,D05,1042,350
HEPG2-01,1,D06,436,350
HEPG2-01,1,D07,537,350
HEPG2-01,1,D08,124,350
HEPG2-01,1,D09,203,622
HEPG2-01,1,D10,708,613
HEPG2-01,1,D11,415,350
HEPG2-01,1,D12,653,350
HEPG2-01,1,D13,1056,350
HEPG2-01,1,D14,456,350
HEPG2-01,1,D15,217,505
HEPG2-01,1,D16,681,505
HEPG2-01,1,D17,113,350
HEPG2-01,1,D18,791,350
HEPG2-01,1,D19,538,350
HEPG2-01,1,D20,290,505
HEPG2-01,1,D21,576,350
HEPG2-01,1,D22,1031,350
HEPG2-01,1,D23,883,505
HEPG2-01,1,E02,400,350
HEPG2-01,1,E03,984,350
HEPG2-01,1,E04,80,350
HEPG2-01,1,E05,371,350
HEPG2-01,1,E06,987,350
HEPG2-01,1,E07,211,350
HEPG2-01,1,E08,157,350
HEPG2-01,1,E09,921,350
HEPG2-01,1,E10,478,350
