experiment,plate,well,sirna,y
HEPG2-01,1,B03,513,505
HEPG2-01,1,B04,840,505
HEPG2-01,1,B05,1020,505
HEPG2-01,1,B06,254,505
HEPG2-01,1,B07,144,505
HEPG2-01,1,B08,503,505
HEPG2-01,1,B09,188,505
HEPG2-01,1,B10,700,505
HEPG2-01,1,B11,1100,505
HEPG2-01,1,B12,611,505
HEPG2-01,1,B13,276,505
HEPG2-01,1,B14,397,505
HEPG2-01,1,B15,757,505
HEPG2-01,1,B16,828,505
HEPG2-01,1,B17,91,505
HEPG2-01,1,B18,567,505
HEPG2-01,1,B19,6,505
HEPG2-01,1,B20,460,505
HEPG2-01,1,B21,413,505
HEPG2-01,1,B22,555,505
HEPG2-01,1,B23,74,505
HEPG2-01,1,C02,950,505
HEPG2-01,1,C04,253,505
HEPG2-01,1,C05,272,505
HEPG2-01,1,C06,162,505
HEPG2-01,1,C08,177,505
HEPG2-01,1,C09,1023,505
HEPG2-01,1,C10,282,505
HEPG2-01,1,C12,762,505
HEPG2-01,1,C13,547,505
HEPG2-01,1,C14,750,505
HEPG2-01,1,C16,10,505
HEPG2-01,1,C17,212,505
HEPG2-01,1,C18,960,505
HEPG2-01,1,C20,870,505
HEPG2-01,1,C21,549,505
HEPG2-01,1,C23,655,505
HEPG2-01,1,D02,70,505
HEPG2-01,1,D03,350,505
HEPG2-01,1,D04,745,505
HEPG2-01,1,D05,1042,505
HEPG2-01,1,D06,436,505
HEPG2-01,1,D07,537,505
HEPG2-01,1,D08,124,505
HEPG2-01,1,D09,203,505
HEPG2-01,1,D10,708,505
HEPG2-01,1,D11,415,505
HEPG2-01,1,D12,653,505
HEPG2-01,1,D13,1056,505
HEPG2-01,1,D14,456,505
HEPG2-01,1,D15,217,505
HEPG2-01,1,D16,681,505
HEPG2-01,1,D17,113,505
HEPG2-01,1,D18,791,505
HEPG2-01,1,D19,538,505
HEPG2-01,1,D20,290,505
HEPG2-01,1,D21,576,505
HEPG2-01,1,D22,1031,505
HEPG2-01,1,D23,883,505
HEPG2-01,1,E02,400,505
HEPG2-01,1,E03,984,505
HEPG2-01,1,E04,80,505
HEPG2-01,1,E05,371,505
HEPG2-01,1,E06,987,505
HEPG2-01,1,E07,211,505
HEPG2-01,1,E08,157,505
HEPG2-01,1,E09,921,505
HEPG2-01,1,E10,478,505
HEPG2-01,1,E11,577,505
HEPG2-01,1,E12,345,505
HEPG2-01,1,E13,784,505
HEPG2-01,1,E14,894,505
HEPG2-01,1,E15,385,505
HEPG2-01,1,E16,1028,505
HEPG2-01,1,E17,8,505
HEPG2-01,1,E18,552,505
HEPG2-01,1,E19,695,505
HEPG2-01,1,E20,459,505
HEPG2-01,1,E21,581,505
HEPG2-01,1,E22,1060,505
HEPG2-01,1,E23,355,505
HEPG2-01,1,F02,900,505
HEPG2-01,1,F04,340,505
HEPG2-01,1,F05,486,505
HEPG2-01,1,F06,907,505
HEPG2-01,1,F08,391,505
HEPG2-01,1,F09,838,505
HEPG2-01,1,F10,523,505
HEPG2-01,1,F12,1084,505
HEPG2-01,1,F13,1089,505
HEPG2-01,1,F14,670,505
HEPG2-01,1,F16,450,505
HEPG2-01,1,F17,389,505
HEPG2-01,1,F18,379,505
HEPG2-01,1,F20,239,505
HEPG2-01,1,F21,604,505
HEPG2-01,1,F23,155,505
HEPG2-01,1,G02,5,505
HEPG2-01,1,G03,48,505
HEPG2-01,1,G04,1062,505
HEPG2-01,1,G05,884,505
HEPG2-01,1,G06,825,505
HEPG2-01,1,G07,798,505
HEPG2-01,1,G08,914,505
HEPG2-01,1,G09,1025,505
HEPG2-01,1,G10,624,505
HEPG2-01,1,G11,939,505
HEPG2-01,1,G12,938,505
HEPG2-01,1,G13,88,505
HEPG2-01,1,G14,1096,505
HEPG2-01,1,G15,46,505
HEPG2-01,1,G16,417,505
HEPG2-01,1,G17,910,505
HEPG2-01,1,G18,268,505
HEPG2-01,1,G19,744,505
HEPG2-01,1,G20,1006,505
HEPG2-01,1,G21,606,505
HEPG2-01,1,G22,172,505
HEPG2-01,1,G23,506,505
HEPG2-01,1,H02,760,505
HEPG2-01,1,H04,1013,505
HEPG2-01,1,H05,77,505
HEPG2-01,1,H06,1101,505
HEPG2-01,1,H08,56,505
HEPG2-01,1,H09,699,505
HEPG2-01,1,H10,1065,505
HEPG2-01,1,H12,847,505
HEPG2-01,1,H13,348,505
HEPG2-01,1,H14,1008,505
HEPG2-01,1,H16,845,505
HEPG2-01,1,H17,102,505
HEPG2-01,1,H18,3,505
HEPG2-01,1,H20,543,505
HEPG2-01,1,H21,734,505
HEPG2-01,1,H23,897,505
HEPG2-01,1,I02,626,505
HEPG2-01,1,I03,192,505
HEPG2-01,1,I04,112,505
HEPG2-01,1,I05,489,505
HEPG2-01,1,I06,1027,505
HEPG2-01,1,I07,195,505
HEPG2-01,1,I08,868,505
HEPG2-01,1,I09,59,505
HEPG2-01,1,I10,689,505
HEPG2-01,1,I11,126,505
HEPG2-01,1,I12,26,505
HEPG2-01,1,I13,1039,505
HEPG2-01,1,I14,295,505
HEPG2-01,1,I15,258,505
HEPG2-01,1,I16,301,505
HEPG2-01,1,I17,891,505
HEPG2-01,1,I18,372,505
HEPG2-01,1,I19,566,505
HEPG2-01,1,I20,764,505
HEPG2-01,1,I21,133,505
HEPG2-01,1,I22,890,505
HEPG2-01,1,I23,806,505
HEPG2-01,1,J02,309,505
HEPG2-01,1,J04,811,505
HEPG2-01,1,J05,1106,505
HEPG2-01,1,J06,105,505
HEPG2-01,1,J08,810,505
HEPG2-01,1,J09,532,505
HEPG2-01,1,J10,1076,505
HEPG2-01,1,J12,676,505
HEPG2-01,1,J13,889,505
HEPG2-01,1,J14,388,505
HEPG2-01,1,J16,94,505
HEPG2-01,1,J17,287,505
HEPG2-01,1,J18,605,505
HEPG2-01,1,J20,411,505
HEPG2-01,1,J21,431,505
HEPG2-01,1,J23,565,505
HEPG2-01,1,K02,881,505
HEPG2-01,1,K03,256,505
HEPG2-01,1,K04,281,505
HEPG2-01,1,K05,181,505
HEPG2-01,1,K06,582,505
HEPG2-01,1,K07,559,505
HEPG2-01,1,K08,853,505
HEPG2-01,1,K09,797,505
HEPG2-01,1,K10,1041,505
HEPG2-01,1,K11,224,505
HEPG2-01,1,K12,765,505
HEPG2-01,1,K13,481,505
HEPG2-01,1,K14,89,505
HEPG2-01,1,K15,366,505
